"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"NUR","","","","","","","","","","","","","","","","","","","","","",""
"NURSING","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"","219
001 315","8","",".",".",".",".",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","219
001 307","6","",".",".",".",".",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"Clinical Nursing I","Course Total","111","",".",".",".",".",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"Independent Reading","299
048","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","301
001 301","20","3.700","40.0","60.0",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","301
001 302","20","3.675","45.0","45.0","10.0",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","301
001 303","20","3.550","35.0","40.0","25.0",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","301
001 304","20","3.675","55.0","25.0","20.0",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","301
001 305","19","3.579","36.8","42.1","21.1",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","301
001 306","12","3.375","8.3","58.3","33.3",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Hlth Hist&Patient Assessmnt","Course Total","111","3.608","38.7","44.1","17.1",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Narrative Anal-Nursing Prac","306
001","7","3.714","71.4","14.3",".","14.3",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Psychopathology & Nursing","310
001","33","3.606","39.4","42.4","18.2",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","317
001","6","3.833","66.7","33.3",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","317
002","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Health Assessment","Course Total","8","3.875","75.0","25.0",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Community Health Nursing","322
001","62","3.815","62.9","37.1",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Fam-cent Perinatl&Ped Nrsng","332
001","12","3.818","66.7","16.7","8.3",".",".","",".","",".",".",".",".",".",".","","8.3",".",".","."
"Theoretical Foundations","341
003","17","3.625","58.8","11.8","11.8","11.8",".","",".","",".",".",".",".",".",".","","5.9",".",".","."
"Clin III-Com Hlth Nurs Prac","419
001","60","3.917","85.0","13.3","1.7",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Adv Concepts-Nurs Practice","422
001","101","3.768","65.3","22.8","6.9","3.0",".","",".","",".",".",".",".",".",".","","2.0",".",".","."
"Essentials-Gerontol Nursing","433
001","103","3.956","92.2","6.8","1.0",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Nursing Research","434
003","7","3.571","42.9","42.9",".","14.3",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Mgmt & Leadershp in Nursing","437
003","7","3.714","85.7",".",".",".","14.3","",".","",".",".",".",".",".",".","",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","Page 419 of 441",""
